,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url,has_den
0,933,"22-41 Munroe Pl., Regina, SK, S4S 6A7",Apartment,2,1.0,0,1,1,Cable / TV,1,1 Year,1,860,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],1,"['24 Hour Security', 'Storage Space']",/v-apartments-condos/regina/2-bedroom-22-41-munroe-pl/1505838324,0
1,850,"2175  Rae Street, Regina, SK, S4T 2E8",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,380,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/beautiful-bachelor-apartment-for-rent-recently-renovated/1561139252,0
2,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,520,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-apartment-for-rent-1424-victoria-ave/1505780189,0
3,814,"3864 Rae Street, Regina, SK, S4S 3A1",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-3864-rae-street/1505749883,0
4,1030,"2240 Robinson Street, Regina, SK, S4T 2P9",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,870,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/pet-friendly-2-bedroom-available-for-rent/1567665722,0
5,1495,"S4X, Canada",Apartment,1,1.0,1,1,1,Cable / TV,1,Month-to-month,0,625,1,"['Laundry (In Unit)', 'Fridge / Freezer']",1,"['Yard', 'Balcony']",0,['24 Hour Security'],/v-apartments-condos/regina/1-bedroom-1-bathroom-fully-furnished-condo-utilities-included/1570910804,0
6,1199,"#109  5301 Universal Crescent, S4W0L2, Regina, SK",Condo,1,1.0,0,1,1,Not Included,1,1 Year,0,786,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Storage Space', 'Elevator in Building']",/v-apartments-condos/regina/modern-one-bedroom-condo-in-harbour-landing-loads-of-amenities/1569425310,1
8,1460,"5500 Parliament Avenue, Regina, SK, S4W 0T3",Apartment,2,2.0,0,1,1,Not Included,0,1 Year,1,997,0,['Fridge / Freezer'],1,['Balcony'],0,"['Gym', 'Elevator in Building']",/v-apartments-condos/regina/harbour-landing-apartments-2-bedroom-plus-apartment-for-rent/1527558786,0
11,799,"1424 Victoria Ave, Regina, SK, S4P 0P3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,520,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-apartment-for-rent-1424-victoria-ave/1505780189,0
12,849,"3525 Avonhurst Dr, Regina, SK, S4R 3K2",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,763,0,"['Laundry (In Building)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/coronation-park-apartment-for-rent-3525-avonhurst-dr/1539483938,0
